customer_id,full_name,date_of_birth,ssn_like_id,annual_income,credit_score,account_open_date,account_tenure_days,is_synthetic_fraud,ring_id,group_id
fd4f22f0-78c8-b3f5-3481-3fbd47625e1a,Anna Henderson,1996-06-19,SYN-321-61-1589,47326,746,2025-10-07,266,0,,fd4f22f0-78c8-b3f5-3481-3fbd47625e1a
ca2de37e-b916-1ce6-9fc7-e23c6b1a81a5,Jason Love,2007-09-06,SYN-503-51-8957,39166,600,2026-05-27,34,0,,ca2de37e-b916-1ce6-9fc7-e23c6b1a81a5
49ea9c51-5590-eca1-9c96-f903cfbb21a7,Joseph Beltran,1990-05-29,SYN-649-31-3687,35131,584,2026-05-03,58,0,,49ea9c51-5590-eca1-9c96-f903cfbb21a7
72205860-3195-5890-7d22-632c0b4fb96e,Kelly King,1983-08-11,SYN-678-26-9077,81560,717,2026-02-09,141,0,,72205860-3195-5890-7d22-632c0b4fb96e
ee3bc129-0b34-3cdd-4a48-ed641ef37b9b,Daniel Campbell,1989-08-25,SYN-953-23-1925,48024,694,2025-10-27,246,0,,ee3bc129-0b34-3cdd-4a48-ed641ef37b9b
12081321-4103-9996-ad7b-603a52c972ae,Ashley Santos,1970-09-10,SYN-701-36-1036,70823,787,2025-12-21,191,0,,12081321-4103-9996-ad7b-603a52c972ae
7e030d79-aed9-6a9b-4f00-f811366262d3,Lisa Reed,1979-05-07,SYN-697-11-6229,90569,691,2026-03-28,94,0,,7e030d79-aed9-6a9b-4f00-f811366262d3
d010b82a-f1b6-6392-e3b8-cfc74803b8b0,Anthony Armstrong,1985-10-02,SYN-910-25-7297,30695,593,2026-05-26,35,0,,d010b82a-f1b6-6392-e3b8-cfc74803b8b0
f5b2e6dd-d6fb-28cf-2ba7-a970bafb50a6,Kelly Donovan,1983-12-22,SYN-475-97-1965,80251,819,2025-09-09,294,0,,f5b2e6dd-d6fb-28cf-2ba7-a970bafb50a6
46296bb3-ccc6-dbd4-47c0-f2da545aa84c,William Esparza,1986-04-18,SYN-748-63-5316,47892,741,2025-05-08,418,0,,46296bb3-ccc6-dbd4-47c0-f2da545aa84c
ed4d1d83-3bea-7fe3-a110-a420623f2c98,Richard Rodriguez,1984-02-11,SYN-525-13-5298,25964,724,2026-06-20,10,0,,ed4d1d83-3bea-7fe3-a110-a420623f2c98
71be64fa-7778-7dbe-6c08-5fa10cb1a307,Melody Ochoa,1976-10-18,SYN-712-82-3834,61723,560,2026-01-24,157,0,,71be64fa-7778-7dbe-6c08-5fa10cb1a307
78951d26-2042-b443-e201-0bdcbd47d545,Derrick Perkins,1969-01-17,SYN-267-32-2732,30337,729,2025-12-12,200,0,,78951d26-2042-b443-e201-0bdcbd47d545
76b48a25-1de0-5422-ec68-a265c0c72fc8,Margaret Erickson,1991-03-28,SYN-836-48-4316,53905,643,2025-05-07,419,0,,76b48a25-1de0-5422-ec68-a265c0c72fc8
897a07ef-4492-0128-6095-70e7d13ae8e8,Lauren Jackson,1994-12-09,SYN-994-91-6442,53320,706,2025-12-03,209,0,,897a07ef-4492-0128-6095-70e7d13ae8e8
1d565316-b10c-f0f1-43c5-7d4085a37b6d,Richard Dawson,1990-03-28,SYN-299-49-4040,201160,665,2025-05-01,425,0,,1d565316-b10c-f0f1-43c5-7d4085a37b6d
8d9b3fca-a3c6-08e0-c657-d06011dcd564,Gail Moss,1980-08-15,SYN-931-66-1222,31315,649,2025-01-25,521,0,,8d9b3fca-a3c6-08e0-c657-d06011dcd564
11fe9a84-5dd1-7666-2e30-375e3cf05dec,Christopher Klein,1979-05-19,SYN-560-39-7662,108422,713,2025-07-25,340,0,,11fe9a84-5dd1-7666-2e30-375e3cf05dec
999c5e8b-31e8-a7bb-40c6-47e4055d40b5,Jose Franklin,1986-08-12,SYN-189-80-7328,48443,654,2025-08-10,324,1,ring_0167,ring_0167
05e5a546-1ae7-1df4-2d5b-5aa514c4946e,Ashley Stevens,1976-09-27,SYN-237-25-3740,30946,703,2025-09-27,276,0,,05e5a546-1ae7-1df4-2d5b-5aa514c4946e
04c3b5ae-75b2-d3da-01db-fec77179302f,Sydney Smith,1981-06-14,SYN-844-64-2392,28083,667,2026-04-28,63,0,,04c3b5ae-75b2-d3da-01db-fec77179302f
e86519dc-3d20-8624-ebd7-84aeac2bbaef,Paige Meyer,1987-11-09,SYN-505-91-8192,32418,776,2025-04-20,436,0,,e86519dc-3d20-8624-ebd7-84aeac2bbaef
